date,container_rate_usd_40ft,supply_chain_pressure_index,on_time_delivery_pct,has_extreme_event,extreme_events
2015-05,2790,0.5,90.9,0,
2015-06,2200,0.78,87.4,0,
2015-07,2780,1.12,84.9,0,
2015-08,2300,0.93,95.1,0,
2015-09,2690,0.7,90.6,0,
2015-10,2650,0.84,92.2,0,
2015-11,2330,1.18,92.3,0,
2015-12,3410,1.06,88.1,0,
2016-01,3280,0.94,88.9,0,
2016-02,2290,0.74,90.4,0,
2016-03,2550,1.01,90.1,0,
2016-04,2340,0.55,93.0,0,
2016-05,2230,0.84,92.1,0,
2016-06,2970,0.51,90.3,0,
2016-07,2360,1.14,90.2,0,
2016-08,2180,0.97,88.8,0,
2016-09,2550,1.01,91.4,0,
2016-10,2640,0.59,93.2,0,
2016-11,2430,0.93,90.7,0,
2016-12,2760,1.11,92.3,0,
2017-01,2860,0.6,90.8,0,
2017-02,2540,0.67,91.6,0,
2017-03,3070,1.26,89.2,0,
2017-04,2580,1.19,90.6,0,
2017-05,2700,0.84,88.9,0,
2017-06,2950,0.68,86.6,0,
2017-07,3000,0.94,94.2,0,
2017-08,2580,0.97,91.5,0,
2017-09,2480,0.96,89.8,0,
2017-10,2530,0.94,88.6,0,
2017-11,2400,0.94,90.8,0,
2017-12,2190,0.87,92.7,0,
2018-01,2210,1.09,90.9,0,
2018-02,2390,0.72,93.4,0,
2018-03,2670,0.96,92.6,0,
2018-04,3320,0.83,92.4,0,
2018-05,2960,0.95,86.5,0,
2018-06,2880,0.87,89.5,0,
2018-07,2560,0.87,90.1,1,US-China trade war escalation ($250B)
2018-08,2520,0.67,91.3,0,
2018-09,2340,0.91,88.4,0,
2018-10,2750,1.23,90.2,0,
2018-11,2560,1.14,88.9,0,
2018-12,2390,0.96,92.1,0,
2019-01,2820,1.27,92.9,0,
2019-02,2670,0.96,89.9,0,
2019-03,2690,1.09,96.4,0,
2019-04,2860,1.13,92.6,0,
2019-05,3100,1.21,87.4,0,
2019-06,2820,0.65,92.3,0,
2019-07,2720,1.09,87.6,0,
2019-08,2750,0.94,93.0,0,
2019-09,2680,0.65,92.1,0,
2019-10,3540,1.36,87.5,0,
2019-11,2800,0.72,90.7,0,
2019-12,2440,0.77,90.6,0,
2020-01,2630,1.13,89.7,1,Wuhan lockdown — COVID manufacturing halt
2020-02,3290,0.95,88.4,0,
2020-03,3910,1.35,85.9,1,COVID-19 pandemic declared — global shutdown
2020-04,4230,1.27,88.1,1,PPE supply crisis — medical supply squeeze
2020-05,4510,1.52,85.0,0,
2020-06,4720,1.82,83.8,0,
2020-07,6570,1.92,83.0,0,
2020-08,5780,1.8,86.3,0,
2020-09,6130,2.24,84.7,1,Container equipment shortage begins
2020-10,7130,2.06,83.5,0,
2020-11,6660,2.27,86.1,0,
2020-12,6770,2.21,80.4,0,
2021-01,7720,2.87,79.7,1,Post-COVID demand surge — port congestion
2021-02,7170,2.1,82.1,0,
2021-03,9840,2.51,77.7,0,
2021-04,9870,2.29,76.2,0,
2021-05,8900,2.37,77.1,0,
2021-06,9460,2.57,73.2,0,
2021-07,9830,2.2,76.9,1,Global semiconductor shortage peak
2021-08,10340,2.71,74.8,0,
2021-09,11340,2.92,75.0,0,
2021-10,9920,2.31,77.0,0,
2021-11,11270,2.55,72.3,1,"FBX container rate peaks ($11,000+/40ft)"
2021-12,12560,2.84,68.7,0,
2022-01,11570,2.81,73.8,0,
2022-02,10000,2.58,73.8,1,Russia invades Ukraine — commodity shock
2022-03,10520,2.66,74.2,0,
2022-04,9640,2.09,73.1,1,Shanghai COVID lockdown (2 months)
2022-05,9790,2.66,75.5,0,
2022-06,6140,1.38,84.8,0,
2022-07,6320,1.55,80.3,0,
2022-08,5900,1.69,83.9,0,
2022-09,4900,1.5,84.6,0,
2022-10,5110,1.23,87.8,0,
2022-11,3600,1.34,88.7,0,
2022-12,3300,0.69,88.6,0,
2023-01,3890,0.88,86.9,0,
2023-02,2930,0.9,86.5,0,
2023-03,2970,1.0,86.5,0,
2023-04,3240,0.93,88.4,0,
2023-05,2890,1.04,90.7,0,
2023-06,2870,0.97,93.6,0,
2023-07,3150,1.01,90.0,0,
2023-08,2840,0.93,88.8,0,
2023-09,2400,1.0,91.4,0,
2023-10,2750,0.77,89.2,0,
2023-11,2650,0.6,93.1,0,
2023-12,2200,1.29,91.9,1,Houthi attacks escalate — Red Sea closure
2024-01,2500,0.82,91.3,0,
2024-02,2480,0.97,90.1,0,
2024-03,2860,1.22,89.4,0,
2024-04,2870,1.44,88.7,0,
2024-05,3020,0.84,91.5,0,
2024-06,3930,1.2,84.5,0,
2024-07,3290,1.15,88.8,0,
2024-08,4220,1.21,84.7,0,
2024-09,3900,1.22,83.9,0,
2024-10,4340,1.51,88.9,0,
2024-11,4140,1.38,88.0,0,
2024-12,4540,1.02,90.0,0,
